Altium Designer Pick and Place Locations
C:\Users\vvosahlo\cernbox\Documents\altium\fastic-readout-hw-v2.0\Project Outputs for fastic-readout\Pick Place for fastic-readout_PANEL(fastic-readout).csv

========================================================================================================================
File Design Information:

Date:       28/11/24
Time:       10:37
Revision:   Not in VersionControl
Variant:    fastic-readout
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","100nF","TopLayer","CAPC1005X55N","32.8500","36.4900","180","Non-polarised capacitor"
"C1","100nF","TopLayer","CAPC1005X55N","32.8500","106.4900","180","Non-polarised capacitor"
"C1","100nF","TopLayer","CAPC1005X55N","102.8500","36.4900","180","Non-polarised capacitor"
"C1","100nF","TopLayer","CAPC1005X55N","102.8500","106.4900","180","Non-polarised capacitor"
"C2","100nF","TopLayer","CAPC1005X55N","32.8500","43.4000","180","Non-polarised capacitor"
"C2","100nF","TopLayer","CAPC1005X55N","32.8500","113.4000","180","Non-polarised capacitor"
"C2","100nF","TopLayer","CAPC1005X55N","102.8500","43.4000","180","Non-polarised capacitor"
"C2","100nF","TopLayer","CAPC1005X55N","102.8500","113.4000","180","Non-polarised capacitor"
"C3","2.2uF","TopLayer","CAPC1608X90N","33.3150","35.1500","0","Non-polarised capacitor"
"C3","2.2uF","TopLayer","CAPC1608X90N","33.3150","105.1500","0","Non-polarised capacitor"
"C3","2.2uF","TopLayer","CAPC1608X90N","103.3150","35.1500","0","Non-polarised capacitor"
"C3","2.2uF","TopLayer","CAPC1608X90N","103.3150","105.1500","0","Non-polarised capacitor"
"C4","2.2uF","TopLayer","CAPC1608X90N","34.3500","45.6000","90","Non-polarised capacitor"
"C4","2.2uF","TopLayer","CAPC1608X90N","34.3500","115.6000","90","Non-polarised capacitor"
"C4","2.2uF","TopLayer","CAPC1608X90N","104.3500","45.6000","90","Non-polarised capacitor"
"C4","2.2uF","TopLayer","CAPC1608X90N","104.3500","115.6000","90","Non-polarised capacitor"
"C5","100nF","TopLayer","CAPC1608X90N","52.1000","41.5000","270","Non-polarised capacitor"
"C5","100nF","TopLayer","CAPC1608X90N","52.1000","111.5000","270","Non-polarised capacitor"
"C5","100nF","TopLayer","CAPC1608X90N","122.1000","41.5000","270","Non-polarised capacitor"
"C5","100nF","TopLayer","CAPC1608X90N","122.1000","111.5000","270","Non-polarised capacitor"
"C6","100nF","TopLayer","CAPC1608X90N","52.1000","38.5000","90","Non-polarised capacitor"
"C6","100nF","TopLayer","CAPC1608X90N","52.1000","108.5000","90","Non-polarised capacitor"
"C6","100nF","TopLayer","CAPC1608X90N","122.1000","38.5000","90","Non-polarised capacitor"
"C6","100nF","TopLayer","CAPC1608X90N","122.1000","108.5000","90","Non-polarised capacitor"
"C12","100nF","BottomLayer","CAPC1005X55N","28.6277","19.2479","90","Non-polarised capacitor"
"C12","100nF","BottomLayer","CAPC1005X55N","28.6277","89.2479","90","Non-polarised capacitor"
"C12","100nF","BottomLayer","CAPC1005X55N","98.6277","19.2479","90","Non-polarised capacitor"
"C12","100nF","BottomLayer","CAPC1005X55N","98.6277","89.2479","90","Non-polarised capacitor"
"C13","100nF","BottomLayer","CAPC1005X55N","26.7877","25.0479","270","Non-polarised capacitor"
"C13","100nF","BottomLayer","CAPC1005X55N","26.7877","95.0479","270","Non-polarised capacitor"
"C13","100nF","BottomLayer","CAPC1005X55N","96.7877","25.0479","270","Non-polarised capacitor"
"C13","100nF","BottomLayer","CAPC1005X55N","96.7877","95.0479","270","Non-polarised capacitor"
"C14","100nF","BottomLayer","CAPC1005X55N","29.9023","23.9879","180","Non-polarised capacitor"
"C14","100nF","BottomLayer","CAPC1005X55N","29.9023","93.9879","180","Non-polarised capacitor"
"C14","100nF","BottomLayer","CAPC1005X55N","99.9023","23.9879","180","Non-polarised capacitor"
"C14","100nF","BottomLayer","CAPC1005X55N","99.9023","93.9879","180","Non-polarised capacitor"
"C15","100nF","BottomLayer","CAPC1005X55N","25.8677","25.0479","270","Non-polarised capacitor"
"C15","100nF","BottomLayer","CAPC1005X55N","25.8677","95.0479","270","Non-polarised capacitor"
"C15","100nF","BottomLayer","CAPC1005X55N","95.8677","25.0479","270","Non-polarised capacitor"
"C15","100nF","BottomLayer","CAPC1005X55N","95.8677","95.0479","270","Non-polarised capacitor"
"C16","100nF","BottomLayer","CAPC1005X55N","27.7077","25.0479","270","Non-polarised capacitor"
"C16","100nF","BottomLayer","CAPC1005X55N","27.7077","95.0479","270","Non-polarised capacitor"
"C16","100nF","BottomLayer","CAPC1005X55N","97.7077","25.0479","270","Non-polarised capacitor"
"C16","100nF","BottomLayer","CAPC1005X55N","97.7077","95.0479","270","Non-polarised capacitor"
"C17","100nF","BottomLayer","CAPC1005X55N","24.5977","22.1479","0","Non-polarised capacitor"
"C17","100nF","BottomLayer","CAPC1005X55N","24.5977","92.1479","0","Non-polarised capacitor"
"C17","100nF","BottomLayer","CAPC1005X55N","94.5977","22.1479","0","Non-polarised capacitor"
"C17","100nF","BottomLayer","CAPC1005X55N","94.5977","92.1479","0","Non-polarised capacitor"
"C18","4.7uF","BottomLayer","CAPC1608X87N","26.8477","26.8479","0","Non-polarised capacitor"
"C18","4.7uF","BottomLayer","CAPC1608X87N","26.8477","96.8479","0","Non-polarised capacitor"
"C18","4.7uF","BottomLayer","CAPC1608X87N","96.8477","26.8479","0","Non-polarised capacitor"
"C18","4.7uF","BottomLayer","CAPC1608X87N","96.8477","96.8479","0","Non-polarised capacitor"
"C19","4.7uF","BottomLayer","CAPC1608X87N","27.5477","17.4479","180","Non-polarised capacitor"
"C19","4.7uF","BottomLayer","CAPC1608X87N","27.5477","87.4479","180","Non-polarised capacitor"
"C19","4.7uF","BottomLayer","CAPC1608X87N","97.5477","17.4479","180","Non-polarised capacitor"
"C19","4.7uF","BottomLayer","CAPC1608X87N","97.5477","87.4479","180","Non-polarised capacitor"
"C20","4.7uF","BottomLayer","CAPC1608X87N","22.4477","21.7479","90","Non-polarised capacitor"
"C20","4.7uF","BottomLayer","CAPC1608X87N","22.4477","91.7479","90","Non-polarised capacitor"
"C20","4.7uF","BottomLayer","CAPC1608X87N","92.4477","21.7479","90","Non-polarised capacitor"
"C20","4.7uF","BottomLayer","CAPC1608X87N","92.4477","91.7479","90","Non-polarised capacitor"
"C21","4.7uF","BottomLayer","CAPC1608X87N","31.9477","22.5479","270","Non-polarised capacitor"
"C21","4.7uF","BottomLayer","CAPC1608X87N","31.9477","92.5479","270","Non-polarised capacitor"
"C21","4.7uF","BottomLayer","CAPC1608X87N","101.9477","22.5479","270","Non-polarised capacitor"
"C21","4.7uF","BottomLayer","CAPC1608X87N","101.9477","92.5479","270","Non-polarised capacitor"
"C24","100pF","TopLayer","CAPC1005X55N","18.2500","51.8001","90","Non-polarised capacitor"
"C24","100pF","TopLayer","CAPC1005X55N","18.2500","121.8001","90","Non-polarised capacitor"
"C24","100pF","TopLayer","CAPC1005X55N","88.2500","51.8001","90","Non-polarised capacitor"
"C24","100pF","TopLayer","CAPC1005X55N","88.2500","121.8001","90","Non-polarised capacitor"
"C25","2.2uF","TopLayer","CAPC1608X90N","13.1000","60.7000","270","Non-polarised capacitor"
"C25","2.2uF","TopLayer","CAPC1608X90N","13.1000","130.7000","270","Non-polarised capacitor"
"C25","2.2uF","TopLayer","CAPC1608X90N","83.1000","60.7000","270","Non-polarised capacitor"
"C25","2.2uF","TopLayer","CAPC1608X90N","83.1000","130.7000","270","Non-polarised capacitor"
"C26","2.2uF","TopLayer","CAPC1608X90N","17.8000","60.7000","270","Non-polarised capacitor"
"C26","2.2uF","TopLayer","CAPC1608X90N","17.8000","130.7000","270","Non-polarised capacitor"
"C26","2.2uF","TopLayer","CAPC1608X90N","87.8000","60.7000","270","Non-polarised capacitor"
"C26","2.2uF","TopLayer","CAPC1608X90N","87.8000","130.7000","270","Non-polarised capacitor"
"C27","2.2uF","TopLayer","CAPC1608X90N","38.7000","21.7000","0","Non-polarised capacitor"
"C27","2.2uF","TopLayer","CAPC1608X90N","38.7000","91.7000","0","Non-polarised capacitor"
"C27","2.2uF","TopLayer","CAPC1608X90N","108.7000","21.7000","0","Non-polarised capacitor"
"C27","2.2uF","TopLayer","CAPC1608X90N","108.7000","91.7000","0","Non-polarised capacitor"
"C28","2.2uF","TopLayer","CAPC1608X90N","36.3546","19.6000","90","Non-polarised capacitor"
"C28","2.2uF","TopLayer","CAPC1608X90N","36.3546","89.6000","90","Non-polarised capacitor"
"C28","2.2uF","TopLayer","CAPC1608X90N","106.3546","19.6000","90","Non-polarised capacitor"
"C28","2.2uF","TopLayer","CAPC1608X90N","106.3546","89.6000","90","Non-polarised capacitor"
"C29","2.2uF","TopLayer","CAPC1608X90N","35.6500","57.3550","270","Non-polarised capacitor"
"C29","2.2uF","TopLayer","CAPC1608X90N","35.6500","127.3550","270","Non-polarised capacitor"
"C29","2.2uF","TopLayer","CAPC1608X90N","105.6500","57.3550","270","Non-polarised capacitor"
"C29","2.2uF","TopLayer","CAPC1608X90N","105.6500","127.3550","270","Non-polarised capacitor"
"C30","2.2uF","TopLayer","CAPC1608X90N","40.3500","57.3550","270","Non-polarised capacitor"
"C30","2.2uF","TopLayer","CAPC1608X90N","40.3500","127.3550","270","Non-polarised capacitor"
"C30","2.2uF","TopLayer","CAPC1608X90N","110.3500","57.3550","270","Non-polarised capacitor"
"C30","2.2uF","TopLayer","CAPC1608X90N","110.3500","127.3550","270","Non-polarised capacitor"
"C31","2.2uF","TopLayer","CAPC1608X90N","35.6500","53.9550","270","Non-polarised capacitor"
"C31","2.2uF","TopLayer","CAPC1608X90N","35.6500","123.9550","270","Non-polarised capacitor"
"C31","2.2uF","TopLayer","CAPC1608X90N","105.6500","53.9550","270","Non-polarised capacitor"
"C31","2.2uF","TopLayer","CAPC1608X90N","105.6500","123.9550","270","Non-polarised capacitor"
"C32","2.2uF","TopLayer","CAPC1608X90N","40.3500","53.9550","270","Non-polarised capacitor"
"C32","2.2uF","TopLayer","CAPC1608X90N","40.3500","123.9550","270","Non-polarised capacitor"
"C32","2.2uF","TopLayer","CAPC1608X90N","110.3500","53.9550","270","Non-polarised capacitor"
"C32","2.2uF","TopLayer","CAPC1608X90N","110.3500","123.9550","270","Non-polarised capacitor"
"C33","2.2uF","TopLayer","CAPC1608X90N","35.6500","50.7400","270","Non-polarised capacitor"
"C33","2.2uF","TopLayer","CAPC1608X90N","35.6500","120.7400","270","Non-polarised capacitor"
"C33","2.2uF","TopLayer","CAPC1608X90N","105.6500","50.7400","270","Non-polarised capacitor"
"C33","2.2uF","TopLayer","CAPC1608X90N","105.6500","120.7400","270","Non-polarised capacitor"
"C34","2.2uF","TopLayer","CAPC1608X90N","40.3500","50.7400","270","Non-polarised capacitor"
"C34","2.2uF","TopLayer","CAPC1608X90N","40.3500","120.7400","270","Non-polarised capacitor"
"C34","2.2uF","TopLayer","CAPC1608X90N","110.3500","50.7400","270","Non-polarised capacitor"
"C34","2.2uF","TopLayer","CAPC1608X90N","110.3500","120.7400","270","Non-polarised capacitor"
"C35","100nF","TopLayer","CAPC1005X55N","24.1900","57.7800","0","Non-polarised capacitor"
"C35","100nF","TopLayer","CAPC1005X55N","24.1900","127.7800","0","Non-polarised capacitor"
"C35","100nF","TopLayer","CAPC1005X55N","94.1900","57.7800","0","Non-polarised capacitor"
"C35","100nF","TopLayer","CAPC1005X55N","94.1900","127.7800","0","Non-polarised capacitor"
"C36","100nF","TopLayer","CAPC1005X55N","29.1400","59.3900","90","Non-polarised capacitor"
"C36","100nF","TopLayer","CAPC1005X55N","29.1400","129.3900","90","Non-polarised capacitor"
"C36","100nF","TopLayer","CAPC1005X55N","99.1400","59.3900","90","Non-polarised capacitor"
"C36","100nF","TopLayer","CAPC1005X55N","99.1400","129.3900","90","Non-polarised capacitor"
"C37","100nF","TopLayer","CAPC1005X55N","29.5900","61.7800","180","Non-polarised capacitor"
"C37","100nF","TopLayer","CAPC1005X55N","29.5900","131.7800","180","Non-polarised capacitor"
"C37","100nF","TopLayer","CAPC1005X55N","99.5900","61.7800","180","Non-polarised capacitor"
"C37","100nF","TopLayer","CAPC1005X55N","99.5900","131.7800","180","Non-polarised capacitor"
"C38","100nF","TopLayer","CAPC1005X55N","19.1400","60.6200","90","Non-polarised capacitor"
"C38","100nF","TopLayer","CAPC1005X55N","19.1400","130.6200","90","Non-polarised capacitor"
"C38","100nF","TopLayer","CAPC1005X55N","89.1400","60.6200","90","Non-polarised capacitor"
"C38","100nF","TopLayer","CAPC1005X55N","89.1400","130.6200","90","Non-polarised capacitor"
"C39","4.7uF","TopLayer","CAPC1608X87N","30.5900","58.8750","270","Non-polarised capacitor"
"C39","4.7uF","TopLayer","CAPC1608X87N","30.5900","128.8750","270","Non-polarised capacitor"
"C39","4.7uF","TopLayer","CAPC1608X87N","100.5900","58.8750","270","Non-polarised capacitor"
"C39","4.7uF","TopLayer","CAPC1608X87N","100.5900","128.8750","270","Non-polarised capacitor"
"C40","100nF","TopLayer","CAPC1005X55N","26.9300","57.7800","180","Non-polarised capacitor"
"C40","100nF","TopLayer","CAPC1005X55N","26.9300","127.7800","180","Non-polarised capacitor"
"C40","100nF","TopLayer","CAPC1005X55N","96.9300","57.7800","180","Non-polarised capacitor"
"C40","100nF","TopLayer","CAPC1005X55N","96.9300","127.7800","180","Non-polarised capacitor"
"C41","100nF","TopLayer","CAPC1005X55N","29.5900","63.2800","180","Non-polarised capacitor"
"C41","100nF","TopLayer","CAPC1005X55N","29.5900","133.2800","180","Non-polarised capacitor"
"C41","100nF","TopLayer","CAPC1005X55N","99.5900","63.2800","180","Non-polarised capacitor"
"C41","100nF","TopLayer","CAPC1005X55N","99.5900","133.2800","180","Non-polarised capacitor"
"C42","100nF","TopLayer","CAPC1005X55N","29.1400","65.2300","270","Non-polarised capacitor"
"C42","100nF","TopLayer","CAPC1005X55N","29.1400","135.2300","270","Non-polarised capacitor"
"C42","100nF","TopLayer","CAPC1005X55N","99.1400","65.2300","270","Non-polarised capacitor"
"C42","100nF","TopLayer","CAPC1005X55N","99.1400","135.2300","270","Non-polarised capacitor"
"C43","100nF","TopLayer","CAPC1005X55N","27.2500","67.7800","180","Non-polarised capacitor"
"C43","100nF","TopLayer","CAPC1005X55N","27.2500","137.7800","180","Non-polarised capacitor"
"C43","100nF","TopLayer","CAPC1005X55N","97.2500","67.7800","180","Non-polarised capacitor"
"C43","100nF","TopLayer","CAPC1005X55N","97.2500","137.7800","180","Non-polarised capacitor"
"C44","100nF","TopLayer","CAPC1005X55N","24.8000","67.7800","180","Non-polarised capacitor"
"C44","100nF","TopLayer","CAPC1005X55N","24.8000","137.7800","180","Non-polarised capacitor"
"C44","100nF","TopLayer","CAPC1005X55N","94.8000","67.7800","180","Non-polarised capacitor"
"C44","100nF","TopLayer","CAPC1005X55N","94.8000","137.7800","180","Non-polarised capacitor"
"C45","100nF","TopLayer","CAPC1005X55N","22.9800","67.7800","0","Non-polarised capacitor"
"C45","100nF","TopLayer","CAPC1005X55N","22.9800","137.7800","0","Non-polarised capacitor"
"C45","100nF","TopLayer","CAPC1005X55N","92.9800","67.7800","0","Non-polarised capacitor"
"C45","100nF","TopLayer","CAPC1005X55N","92.9800","137.7800","0","Non-polarised capacitor"
"C46","4.7uF","TopLayer","CAPC1608X87N","30.5900","65.7450","90","Non-polarised capacitor"
