Altium Designer Pick and Place Locations,,,,,,,
C:\Users\vvosahlo\cernbox\Documents\altium\fastic-readout-hw-v1.0\Project Outputs for fastic-readout\Pick Place for fastic-readout(fastic-readout).csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       15/11/24,,,,,,,
Time:       09:46,,,,,,,
Revision:   f0fbaec3ec4139e9fda66e3f75a2d43e6b6cb87b,,,,,,,
Variant:    fastic-readout,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
R87,10k,Top,RESC1005X40N,29.4,-11.9,90,Resistor - 1%
R86,10k,Top,RESC1005X40N,30.4,-11.9,90,Resistor - 1%
R85,4k7,Top,RESC1005X40N,-7.1,23.2,0,Resistor - 1%
R84,4k7,Top,RESC1005X40N,-7.1,22.2,0,Resistor - 1%
R83,10k,Top,RESC1005X40N,14.9,-15.6,90,Resistor - 1%
R82,10k,Top,RESC1005X40N,16.2,-15.6,90,Resistor - 1%
R81,4k7,Bottom,RESC1005X40N,37.35,-14.2,180,Resistor - 1%
R80,4k7,Bottom,RESC1005X40N,33.55,-12.86,270,Resistor - 1%
R79,4k7,Bottom,RESC1005X40N,33.55,-11.04,90,Resistor - 1%
R78,4k7,Bottom,RESC1005X40N,20.2,-12.36,180,Resistor - 1%
R77,4k7,Bottom,RESC1005X40N,16.4,-11.01,270,Resistor - 1%
R76,4k7,Bottom,RESC1005X40N,16.4,-9.19,90,Resistor - 1%
IC8,TCA9803DGK,Bottom,SOP65P490X110-8N,37.35,-11.95,0,Level-Translating I2C Bus Buffer/Repeater
IC7,TCA9803DGK,Bottom,SOP65P490X110-8N,20.2,-10.1,0,Level-Translating I2C Bus Buffer/Repeater
C134,100nF,Bottom,CAPC1005X55N,39.64,-14.21,0,Non-polarised capacitor
C133,100nF,Bottom,CAPC1005X55N,22.49,-12.36,0,Non-polarised capacitor
C121,100nF,Bottom,CAPC1005X55N,17.91,-12.36,180,Non-polarised capacitor
C107,100nF,Bottom,CAPC1005X55N,35.06,-14.21,180,Non-polarised capacitor
R75,1k,Top,RESC1005X40N,32.3,-33.8,90,Resistor - 1%
R74,1k,Top,RESC1005X40N,31.3,-33.8,90,Resistor - 1%
R51,1k,Top,RESC1005X40N,30.3,-33.8,90,Resistor - 1%
R50,1k,Top,RESC1005X40N,29.3,-33.8,90,Resistor - 1%
LD4,Green,Top,LED_KINGBRIGHT_APHHS1005CGCK,32.3,-31.8,90,LED Green 1C 2A
LD3,Green,Top,LED_KINGBRIGHT_APHHS1005CGCK,31.3,-31.8,90,LED Green 1C 2A
LD2,Green,Top,LED_KINGBRIGHT_APHHS1005CGCK,30.3,-31.8,90,LED Green 1C 2A
LD1,Green,Top,LED_KINGBRIGHT_APHHS1005CGCK,29.3,-31.8,90,LED Green 1C 2A
R49,4k12,Top,RESC1005X40N,4.3,32,0,Resistor - 1%
R48,5k1,Top,RESC1005X40N,4.3,30.8,0,Resistor - 1%
R47,1k,Top,RESC1005X40N,-0.23,20.5,0,Resistor - 1%
L1_1,220R@100MHz,Top,INDC1005X55N,-11.8,-14.025,90,
